company,industry_code,country,region,industry
Siliconix Inc,6,United States,North America,Business Equipment & Software
Silicon Valley Research Inc,6,United States,North America,Business Equipment & Software
Simmonds Precision Products Inc,6,United States,North America,Business Equipment & Software
Simmons Co,2,United States,North America,Consumer Durables
Skyline Corp,12,United States,North America,Other
A. O. Smith Corp,2,United States,North America,Consumer Durables
Smith International Inc.,5,United States,North America,Chemicals
Smith Laboratories Inc,10,United States,North America,Healthcare
Smithkline Beckman Corp,10,United States,North America,Healthcare
J.M. Smucker Co (The),1,United States,North America,Consumer Non-Durables
Snap-On Inc,3,United States,North America,Manufacturing
KeyCorp,11,United States,North America,Finance
Softech Inc,6,United States,North America,Business Equipment & Software
Solitron Devices Inc,6,United States,North America,Business Equipment & Software
Sonoco Products Co,3,United States,North America,Manufacturing
Sony Corp,3,Japan,Asia Pacific,Manufacturing
Sorg Inc,3,United States,North America,Manufacturing
Soundesign Corp,2,United States,North America,Consumer Durables
Southdown Inc,3,United States,North America,Manufacturing
Edison International,8,United States,North America,Utilities
Southern California Gas Co,8,United States,North America,Utilities
Southern Co (The),8,United States,North America,Utilities
Southern Pacific Transporation Co,12,United States,North America,Other
Norfolk Southern Railway Co,12,United States,North America,Other
Southwest Airlines Co.,12,United States,North America,Other
Southwest Gas Holdings Inc,8,United States,North America,Utilities
AT&T Inc,7,United States,North America,Telecommunication
Southwestern Bell Telephone,7,United States,North America,Telecommunication
Southwestern Energy Co,8,United States,North America,Utilities
Span-America Medical Systems Inc,10,United States,North America,Healthcare
Spang Industries Inc,6,United States,North America,Business Equipment & Software
Spartan Motors Inc,2,United States,North America,Consumer Durables
Sparton Corp,6,United States,North America,Business Equipment & Software
Spectrascan Inc,6,United States,North America,Business Equipment & Software
Spectrum Control Inc,6,United States,North America,Business Equipment & Software
Spectrum Laboratories Inc,6,United States,North America,Business Equipment & Software
Speizman Industries Inc,9,United States,North America,Wholesale & Retail
Sperry Corp,6,United States,North America,Business Equipment & Software
Sperti Drug Products Inc,2,United States,North America,Consumer Durables
Spex Industries Inc,6,United States,North America,Business Equipment & Software
Spire Corp,6,United States,North America,Business Equipment & Software
Springs Industries,1,United States,North America,Consumer Non-Durables
Square D Co,3,United States,North America,Manufacturing
STAAR Surgical Company,10,United States,North America,Healthcare
Stanadyne Inc,3,United States,North America,Manufacturing
Standard Motor Products Inc.,6,United States,North America,Business Equipment & Software
Standard Oil Co,4,United States,North America,Energy
Standard Products Co,2,United States,North America,Consumer Durables
Standard Register Co (The),3,United States,North America,Manufacturing
Standex International Corp,3,United States,North America,Manufacturing
Standun Inc,2,United States,North America,Consumer Durables
Stanford Telecommunications,6,United States,North America,Business Equipment & Software
Stanley Black & Decker Inc,3,United States,North America,Manufacturing
Staodyn Inc,10,United States,North America,Healthcare
Star Technologies Inc,6,United States,North America,Business Equipment & Software
L.S. Starrett Co (The),3,United States,North America,Manufacturing
State Street Corp,11,United States,North America,Finance
Stauffer Chemical Co,5,United States,North America,Chemicals
Steel Technologies Inc,3,United States,North America,Manufacturing
Steiger Tractor Inc,3,United States,North America,Manufacturing
Stelco Inc,3,Canada,North America,Manufacturing
Stepan Co,5,United States,North America,Chemicals
Hyal Pharmaceutical Corp,10,Canada,North America,Healthcare
Sterling Drug Inc,10,United States,North America,Healthcare
Sterling Extruder Corp,3,United States,North America,Manufacturing
Sterling Software Inc,6,United States,North America,Business Equipment & Software
Sterndent Corp,3,United States,North America,Manufacturing
Stewart & Stevenson Services Inc,2,United States,North America,Consumer Durables
Stewart Information Services Corp,11,United States,North America,Finance
Stokely Van Camp Inc,1,United States,North America,Consumer Non-Durables
Stone & Webster Inc,12,United States,North America,Other
Stone Container Corp,3,United States,North America,Manufacturing
Storage Technology Corp,6,United States,North America,Business Equipment & Software
Stratoflex Inc,3,United States,North America,Manufacturing
Stratus Computer Inc,6,United States,North America,Business Equipment & Software
Stryker Corp,10,United States,North America,Healthcare
Navient Corp,11,United States,North America,Finance
Sturm Ruger & Co Inc.,3,United States,North America,Manufacturing
Sequa Corp,3,United States,North America,Manufacturing
Sun Electric Corp,6,United States,North America,Business Equipment & Software
Sun-Heet Inc,3,United States,North America,Manufacturing
Sunoco Inc.,4,United States,North America,Energy
Sundstrand Corp,3,United States,North America,Manufacturing
Sunrise Medical Inc,10,United States,North America,Healthcare
SunTrust Banks Inc.,11,United States,North America,Finance
SUPERVALU INC.,9,United States,North America,Wholesale & Retail
Superior Industries International Inc.,2,United States,North America,Consumer Durables
Supertex Inc,6,United States,North America,Business Equipment & Software
Supreme Equipment & Systems Corp,3,United States,North America,Manufacturing
Meridian Medical Technology Inc,10,United States,North America,Healthcare
Swank Inc,1,United States,North America,Consumer Non-Durables
Swedlow Inc,3,United States,North America,Manufacturing
Symbol Technologies Inc.,6,United States,North America,Business Equipment & Software
Symbolics Inc,6,United States,North America,Business Equipment & Software
Synbiotics Corp,10,United States,North America,Healthcare
Syncor International Corp,9,United States,North America,Wholesale & Retail
Syntech International Inc,6,United States,North America,Business Equipment & Software
Syntex Corp,10,Panama,North America,Healthcare
Synthetech Inc,5,United States,North America,Chemicals
Syntrex Inc,6,United States,North America,Business Equipment & Software
Sysco Corp,9,United States,North America,Wholesale & Retail
Systems & Computer Technology Corp,6,United States,North America,Business Equipment & Software
System Industries Inc,6,United States,North America,Business Equipment & Software
Systems Engineering & Manufacturing Corp,3,United States,North America,Manufacturing
TCBY Enterprises Inc,1,United States,North America,Consumer Non-Durables
Tdk Corp,6,Japan,Asia Pacific,Business Equipment & Software
TEC Inc,6,United States,North America,Business Equipment & Software
TECO Energy Inc.,8,United States,North America,Utilities
TIE/Communications Inc,6,United States,North America,Business Equipment & Software
Intercom Systems Inc,6,United States,North America,Business Equipment & Software
Tii Network Technologies Inc,6,United States,North America,Business Equipment & Software
TRC Cos Inc,12,United States,North America,Other
TRP Energy Sensors Inc,6,United States,North America,Business Equipment & Software
TRW Inc,2,United States,North America,Consumer Durables
TSI Inc/MN,6,United States,North America,Business Equipment & Software
TSR Inc,6,United States,North America,Business Equipment & Software
Tab Products,3,United States,North America,Manufacturing
BioSource International Inc,10,United States,North America,Healthcare
Talley Industries Inc,3,United States,North America,Manufacturing
Tambrands Inc,3,United States,North America,Manufacturing
Tandem Computers Inc,6,United States,North America,Business Equipment & Software
RS Legacy Corp,9,United States,North America,Wholesale & Retail
Tannetics Inc,3,United States,North America,Manufacturing
Tapecon Inc,3,United States,North America,Manufacturing
Taylor Devices Inc,3,United States,North America,Manufacturing
Team Inc,12,United States,North America,Other
Tech Serv Inc,6,United States,North America,Business Equipment & Software
Techamerica Group Inc,10,United States,North America,Healthcare
Pulse Electronics Corp,6,United States,North America,Business Equipment & Software
Technology 80 Inc,6,United States,North America,Business Equipment & Software
TCI International Inc,6,United States,North America,Business Equipment & Software
Technology Marketing Inc,6,United States,North America,Business Equipment & Software
Technology Research Corp,3,United States,North America,Manufacturing
Tecumseh Products Co,3,United States,North America,Manufacturing
Telco Systems Inc,6,United States,North America,Business Equipment & Software
Tektronix Inc.,6,United States,North America,Business Equipment & Software
Telecalc Inc,6,United States,North America,Business Equipment & Software
Teleco Oilfield Services Inc,4,United States,North America,Energy
Telecredit Inc,12,United States,North America,Other
Allegheny Technologies Inc,3,United States,North America,Manufacturing
Teleflex Inc,10,United States,North America,Healthcare
Teleram Communications Corp,6,United States,North America,Business Equipment & Software
Tellabs Inc,6,United States,North America,Business Equipment & Software
Telxon Corp,6,United States,North America,Business Equipment & Software
Temple-Inland Inc.,3,United States,North America,Manufacturing
Telemetry Controls Inc,6,United States,North America,Business Equipment & Software
Templet Industries Inc,2,United States,North America,Consumer Durables
Tennant Co,3,United States,North America,Manufacturing
Tenneco Inc,2,United States,North America,Consumer Durables
Tennessee Valley Authority,8,United States,North America,Utilities
American Independence Corp,11,United States,North America,Finance
Teradyne Inc.,6,United States,North America,Business Equipment & Software
Andeavor,4,United States,North America,Energy
Texaco Canada Inc,4,Canada,North America,Energy
Texaco Inc,4,United States,North America,Energy
United Airlines Inc,12,United States,North America,Other
Texas Industries Inc.,3,United States,North America,Manufacturing
Texas Instruments Inc,6,United States,North America,Business Equipment & Software
Texasgulf Inc,12,United States,North America,Other
Texfi Industries Inc,1,United States,North America,Consumer Non-Durables
Unicorp Inc,4,United States,North America,Energy
Textron Inc,3,United States,North America,Manufacturing
Thermal Energy Storage Inc,12,United States,North America,Other
Thermal Industries Inc,3,United States,North America,Manufacturing
Thermal Profiles Inc,3,United States,North America,Manufacturing
Thermatool Corp,3,United States,North America,Manufacturing
Thermo Fisher Scientific Inc,6,United States,North America,Business Equipment & Software
Thermodynetics Inc,11,United States,North America,Finance
Thermwood Corp,3,United States,North America,Manufacturing
Thermedics Inc,3,United States,North America,Manufacturing
Thomas & Betts Corp,2,United States,North America,Consumer Durables
Thomas Industries Inc.,3,United States,North America,Manufacturing
Thomaston Mills Inc,1,United States,North America,Consumer Non-Durables
Thompson Medical Co Inc,10,United States,North America,Healthcare
Thor Industries Inc.,3,United States,North America,Manufacturing
Thoratec Corp,10,United States,North America,Healthcare
Thorn Apple Valley Inc,1,United States,North America,Consumer Non-Durables
3Com Corp,6,United States,North America,Business Equipment & Software
Timberline Software Corp,6,United States,North America,Business Equipment & Software
Timeplex Inc,6,United States,North America,Business Equipment & Software
Timken Co (The),3,United States,North America,Manufacturing
Tinsley Laboratories Inc,6,United States,North America,Business Equipment & Software
Tokheim Corp,3,United States,North America,Manufacturing
Tootsie Roll Industries Inc.,1,United States,North America,Consumer Non-Durables
Toro Co (The),3,United States,North America,Manufacturing
Tosco Corp,4,United States,North America,Energy
Toshiba Corp,3,Japan,Asia Pacific,Manufacturing
Total System Services Inc.,12,United States,North America,Other
Tracor Inc,6,United States,North America,Business Equipment & Software
iWatt Inc,6,United States,North America,Business Equipment & Software
Trafalgar Industries Inc,4,United States,North America,Energy
Trans-Lux Corp,2,United States,North America,Consumer Durables
Transact International Inc,3,United States,North America,Manufacturing
TransCanada Corp,8,Canada,North America,Utilities
Transducer Systems Inc,6,United States,North America,Business Equipment & Software
Transidyne General Corp,10,United States,North America,Healthcare
Breeze-Eastern Corp,3,United States,North America,Manufacturing
Transtector Systems Inc,6,United States,North America,Business Equipment & Software
Triangle Pacific Corp,12,United States,North America,Other
Tribune Media Co,7,United States,North America,Telecommunication
Trico Products Corp,2,United States,North America,Consumer Durables
Trimedyne Inc,10,United States,North America,Healthcare
Trinity Industries Inc.,3,United States,North America,Manufacturing
Trio-Tech International,3,United States,North America,Manufacturing
Trion Inc,3,United States,North America,Manufacturing
Tultex Corp,1,United States,North America,Consumer Non-Durables
Twin Disc Inc,3,United States,North America,Manufacturing
Tyco International Plc,6,Ireland,Europe,Business Equipment & Software
Tyson Foods Inc.,1,United States,North America,Consumer Non-Durables
UMC Electronics Co,3,United States,North America,Manufacturing
Frankfort Tower Industries Inc.,3,United States,North America,Manufacturing
USG Corp,3,United States,North America,Manufacturing
MDI Inc,12,United States,North America,Other
Ultrasystems Inc,12,United States,North America,Other
UNIFI INC.,1,United States,North America,Consumer Non-Durables
UniFirst Corp,1,United States,North America,Consumer Non-Durables
Uniflex Inc,3,United States,North America,Manufacturing
Unilever PLC,5,United Kingdom,Europe,Chemicals
Unilever NV,5,Netherlands,Europe,Chemicals
Unimed Pharmaceuticals Inc,10,United States,North America,Healthcare
Unimation Inc,3,United States,North America,Manufacturing
Union Camp Corp,3,United States,North America,Manufacturing
Union Carbide Canada Ltd,5,Canada,North America,Chemicals
Union Carbide Corp,5,United States,North America,Chemicals
Ameren Corp,8,United States,North America,Utilities
Union Pacific Corp,12,United States,North America,Other
Union Special Corp,3,United States,North America,Manufacturing
Uniroyal Inc,3,United States,North America,Manufacturing
Unit Corp,4,United States,North America,Energy
United Aircraft Products Inc,3,United States,North America,Manufacturing
Chiquita Brands International Inc,1,United States,North America,Consumer Non-Durables
Unitedhealth Group Inc,11,United States,North America,Finance
United Industrial Corp,6,United States,North America,Business Equipment & Software
United Parcel Service Inc,12,United States,North America,Other
US Energy Corp.,4,United States,North America,Energy
U S Home Corp,12,United States,North America,Other
U S Surgical Corp,10,United States,North America,Healthcare
UST Inc.,1,United States,North America,Consumer Non-Durables
United Technologies Corp,3,United States,North America,Manufacturing
Sprint Corp,7,United States,North America,Telecommunication
Scientific Games Corp,6,United States,North America,Business Equipment & Software
Unitel Video Inc,12,United States,North America,Other
Unitrode Corp,6,United States,North America,Business Equipment & Software
Universal Dynamics Inc,3,United States,North America,Manufacturing
Sensient Technologies Corp,5,United States,North America,Chemicals
Universal Corp,9,United States,North America,Wholesale & Retail
Universal Security Instruments Inc.,6,United States,North America,Business Equipment & Software
Calmare Therapeutics Inc,10,United States,North America,Healthcare
Unocal Corp,4,United States,North America,Energy
Up-Right Inc,3,United States,North America,Manufacturing
Pharmacia & Upjohn Inc,10,United States,North America,Healthcare
Usenco Inc,4,United States,North America,Energy
Utah Medical Products Inc,10,United States,North America,Healthcare
Utah Power & Light,8,United States,North America,Utilities
Utility Verification Corp,11,United States,North America,Finance
V Band Corporation,6,United States,North America,Business Equipment & Software
V.F. Corp,1,United States,North America,Consumer Non-Durables
VLSI Technology Inc,6,United States,North America,Business Equipment & Software
VMX Inc,6,United States,North America,Business Equipment & Software
Vacco Industries,3,United States,North America,Manufacturing
Valid Logic Systems Inc,6,United States,North America,Business Equipment & Software
Valleylab Inc,10,United States,North America,Healthcare
Valmont Industries Inc,3,United States,North America,Manufacturing
Valspar Corp (The),5,United States,North America,Chemicals
Van Dorn Co,3,United States,North America,Manufacturing
Vanzetti Systems Inc,6,United States,North America,Business Equipment & Software
Varian Medical Systems Inc,10,United States,North America,Healthcare
Varo Inc,6,United States,North America,Business Equipment & Software
Veeco Instruments Inc,3,United States,North America,Manufacturing
Velcro Industries NV,1,Antigua and Barbuda,North America,Consumer Non-Durables
Velobind Inc,3,United States,North America,Manufacturing
Ventrex Laboratories Inc,10,United States,North America,Healthcare
Rational Software Corp,6,United States,North America,Business Equipment & Software
Verex Laboratories Inc,10,United States,North America,Healthcare
Versa Technologies Inc,3,United States,North America,Manufacturing
Quaker Fabric Corporation,1,United States,North America,Consumer Non-Durables
Continental Can Co Inc,3,United States,North America,Manufacturing
Vicon Fiber Optics Corp,10,United States,North America,Healthcare
Vicon Industries Inc.,6,United States,North America,Business Equipment & Software
Victor Technologies Inc,6,United States,North America,Business Equipment & Software
Video Display Corp,6,United States,North America,Business Equipment & Software
View-Master Ideal Group Inc,3,United States,North America,Manufacturing
Vipont Pharmaceutical Inc,5,United States,North America,Chemicals
Viragen Inc.,10,United States,North America,Healthcare
Viratek Inc,10,United States,North America,Healthcare
Virco Mfg. Corp,3,United States,North America,Manufacturing
Vishay Intertechnology Inc.,6,United States,North America,Business Equipment & Software
Vitalmetrics Inc,11,United States,North America,Finance
Vivigen Inc,10,United States,North America,Healthcare
Voicemail International Inc,12,United States,North America,Other
Volt Information Sciences Inc.,12,United States,North America,Other
Volvo AB,2,Sweden,Europe,Consumer Durables
Voplex Corp,2,United States,North America,Consumer Durables
Vulcan Materials Co,12,United States,North America,Other
WD-40 Co,5,United States,North America,Chemicals
Walmart Inc,9,United States,North America,Wholesale & Retail
Walbro Corp,2,United States,North America,Consumer Durables
Walgreens Boots Alliance Inc,9,United States,North America,Wholesale & Retail
Wallace Computer Services Inc.,3,United States,North America,Manufacturing
Wallace-Murray Corp,3,United States,North America,Manufacturing
Warner-Lambert Co,10,United States,North America,Healthcare
Graham Holdings Co,12,United States,North America,Other
WSI Industries Inc,3,United States,North America,Manufacturing
Avista Corp,8,United States,North America,Utilities
Watkins-Johnson,6,United States,North America,Business Equipment & Software
Watsco Inc.,9,United States,North America,Wholesale & Retail
Wausau Paper Corp,3,United States,North America,Manufacturing
Wedtech Corp,2,United States,North America,Consumer Durables
Weigh-Tronix Inc,3,United States,North America,Manufacturing
Weinschel Engineering Co Inc,6,United States,North America,Business Equipment & Software
AG&E Holdings Inc,6,United States,North America,Business Equipment & Software
Wendy's International Inc.,9,United States,North America,Wholesale & Retail
West Pharmaceutical Services Inc.,3,United States,North America,Manufacturing
West Point-Pepperell,1,United States,North America,Consumer Non-Durables
Western Digital Corp,6,United States,North America,Business Equipment & Software
Western Marine Electronics Co,6,United States,North America,Business Equipment & Software
Pierre Foods Inc,1,United States,North America,Consumer Non-Durables
Western Waste Industries,12,United States,North America,Other
Westinghouse Canada Inc,3,Canada,North America,Manufacturing
CBS Corp -Old,7,United States,North America,Telecommunication
Westmoreland Coal Co,4,United States,North America,Energy
George Weston Ltd,9,Canada,North America,Wholesale & Retail
MeadWestvaco Corp,3,United States,North America,Manufacturing
Weyerhaeuser Co,12,United States,North America,Other
Handy & Harman Ltd,3,United States,North America,Manufacturing
Whirlpool Corp,2,United States,North America,Consumer Durables
White Consolidated Industries Inc,2,United States,North America,Consumer Durables
Whittaker Corp,3,United States,North America,Manufacturing
Wildlife Vaccines Inc,10,United States,North America,Healthcare
Willamette Industries,3,United States,North America,Manufacturing
Rexel Inc,9,United States,North America,Wholesale & Retail
Williams Industries Inc,3,United States,North America,Manufacturing
WMS Industries Inc.,2,United States,North America,Consumer Durables
Williams-Sonoma Inc.,9,United States,North America,Wholesale & Retail
Wilmington Trust Corp,11,United States,North America,Finance
Wilton Enterprises Inc,3,United States,North America,Manufacturing
Winnebago Industries Inc.,2,United States,North America,Consumer Durables
WEC Energy Group Inc,8,United States,North America,Utilities
Alliant Energy Corp,8,United States,North America,Utilities
Witco Corp,5,United States,North America,Chemicals
Wolverine Technologies Inc,3,United States,North America,Manufacturing
Wolverine World Wide Inc.,1,United States,North America,Consumer Non-Durables
Woodhead Industries Inc,6,United States,North America,Business Equipment & Software
Woodward Inc,3,United States,North America,Manufacturing
Worthington Industries Inc.,3,United States,North America,Manufacturing
Wright Laboratories Inc,10,United States,North America,Healthcare
Wm. Wrigley Jr. Co,1,United States,North America,Consumer Non-Durables
Wyman-Gordon Co,3,United States,North America,Manufacturing
Wynn's International Inc,3,United States,North America,Manufacturing
WYSE Technology Inc,6,United States,North America,Business Equipment & Software
Xebec,6,United States,North America,Business Equipment & Software
Xerox Corp,6,United States,North America,Business Equipment & Software
Xonics Inc,3,United States,North America,Manufacturing
Key Energy Services Inc.,4,United States,North America,Energy
Xicor Inc,6,United States,North America,Business Equipment & Software
YRC Worldwide Inc,12,United States,North America,Other
Spectrum Brands Holdings Inc,3,United States,North America,Manufacturing
Zehntel Inc,6,United States,North America,Business Equipment & Software
Zenith Electronics Corp,2,United States,North America,Consumer Durables
Zimmer Corp,2,United States,North America,Consumer Durables
Zions Bancorporation,11,United States,North America,Finance
Zurn Industries Inc,3,United States,North America,Manufacturing
Zygo Corp,6,United States,North America,Business Equipment & Software
Function(x) Inc,6,United States,North America,Business Equipment & Software
Identix Inc,6,United States,North America,Business Equipment & Software
Oshkosh Corp,2,United States,North America,Consumer Durables
Isco Inc,6,United States,North America,Business Equipment & Software
US-China Biomedical Technology Inc,10,United States,North America,Healthcare
Qualys Inc,6,United States,North America,Business Equipment & Software
Svenska Kullagerfabriken Skf AB,3,Sweden,Europe,Manufacturing
Infrasonics Inc,10,United States,North America,Healthcare
Sand Technology Inc,6,Canada,North America,Business Equipment & Software
Pamour Inc,12,Canada,North America,Other
Encana Corp,4,Canada,North America,Energy
Alliance Pharmaceutical,10,United States,North America,Healthcare
Linear Films Inc,3,United States,North America,Manufacturing
CAS Medical Systems Inc,10,United States,North America,Healthcare
Henry (Jack) & Associates Inc,6,United States,North America,Business Equipment & Software
Associated Banc-Corp,11,United States,North America,Finance
BB&T Corp,11,United States,North America,Finance
AEP Industries Inc,3,United States,North America,Manufacturing
Central Sprinkler Corp,3,United States,North America,Manufacturing
DPAC Technologies Corp,6,United States,North America,Business Equipment & Software
Novell Inc.,6,United States,North America,Business Equipment & Software
Immucor Inc,10,United States,North America,Healthcare
Anadarko Petroleum Corp,4,United States,North America,Energy
Noble Corp plc,4,United Kingdom,Europe,Energy
Acura Pharmaceuticals Inc,10,United States,North America,Healthcare
CCA Industries Inc.,5,United States,North America,Chemicals
Brintec Corp,3,United States,North America,Manufacturing
Interactive Technologies Inc,6,United States,North America,Business Equipment & Software
Mikron Infrared Inc,6,United States,North America,Business Equipment & Software
QMed Inc,12,United States,North America,Other
Morgan Products Ltd,9,United States,North America,Wholesale & Retail
Teknowledge Inc,6,United States,North America,Business Equipment & Software
Synergen Inc,10,United States,North America,Healthcare
Codercard Inc,6,United States,North America,Business Equipment & Software
Cyprus Amax Minerals Co,12,United States,North America,Other
Intelsat SA,7,Luxembourg,Europe,Telecommunication
EMC Corp,6,United States,North America,Business Equipment & Software
Bally Technologies Inc,2,United States,North America,Consumer Durables
Altex Industries Inc,4,United States,North America,Energy
Duratek Inc,12,United States,North America,Other
MEDTOX Scientific Inc.,10,United States,North America,Healthcare
Container Industries Inc,3,United States,North America,Manufacturing
Kurzweil Music Systems Inc,11,United States,North America,Finance
Vectra Technologies Inc,12,United States,North America,Other
Enseco Inc,12,United States,North America,Other
Morgan Stanley,11,United States,North America,Finance
Sealright Co Inc,3,United States,North America,Manufacturing
Summa Rx Laboratories Inc,10,United States,North America,Healthcare
Sun Microsystems Inc,6,United States,North America,Business Equipment & Software
T. Rowe Price Group Inc,11,United States,North America,Finance
Microsoft Corp,6,United States,North America,Business Equipment & Software
Oracle Corp,6,United States,North America,Business Equipment & Software
Alpha Technologies Group Inc,3,United States,North America,Manufacturing
SunGard Data Systems Inc.,6,United States,North America,Business Equipment & Software
Coty Inc,5,United States,North America,Chemicals
Communication Cable Inc,3,United States,North America,Manufacturing
Cardiac Control Systems Inc,10,United States,North America,Healthcare
Amertek Inc,2,Canada,North America,Consumer Durables
Sports Marketing Inc,1,United States,North America,Consumer Non-Durables
Plasti-Line Inc,2,United States,North America,Consumer Durables
Beta Phase Inc,6,United States,North America,Business Equipment & Software
OSI Pharmaceuticals Inc,10,United States,North America,Healthcare
Repligen Corp,10,United States,North America,Healthcare
X-Rite Inc,3,United States,North America,Manufacturing
Calfrac Well Services Ltd,4,Canada,North America,Energy
Cimco Inc,3,United States,North America,Manufacturing
DIRECTV,7,United States,North America,Telecommunication
Tekelec,6,United States,North America,Business Equipment & Software
Cypress Semiconductor Corp,6,United States,North America,Business Equipment & Software
Linear Technology Corp,6,United States,North America,Business Equipment & Software
Microlog Corp-Old,6,United States,North America,Business Equipment & Software
KCR Technology Inc,6,United States,North America,Business Equipment & Software
Genzyme Corp,10,United States,North America,Healthcare
Sigma Designs Inc,6,United States,North America,Business Equipment & Software
AMAG Pharmaceuticals Inc,10,United States,North America,Healthcare
XOMA Corp,10,United States,North America,Healthcare
Steel Excel Inc,4,United States,North America,Energy
GlobeImmune Inc,10,United States,North America,Healthcare
Astec Industries Inc.,3,United States,North America,Manufacturing
Cytogen Corp,10,United States,North America,Healthcare
Genetics Institute Inc,10,United States,North America,Healthcare
International Genetic Engineering Inc,12,United States,North America,Other
American Bionetics Inc,10,United States,North America,Healthcare
International Container Systems Inc,3,United States,North America,Manufacturing
HMG Worldwide Corp,2,United States,North America,Consumer Durables
Ivy Medical Inc,10,United States,North America,Healthcare
Management Graphics Inc,6,United States,North America,Business Equipment & Software
BNSF Railway Company,12,United States,North America,Other
Nowsco Well Service Ltd,4,Canada,North America,Energy
Genicom Corp,6,United States,North America,Business Equipment & Software
Insituform Group Ltd,12,United Kingdom,Europe,Other
Interleaf Inc,6,United States,North America,Business Equipment & Software
Newmont Gold Company,12,United States,North America,Other
Computer Power Inc,2,United States,North America,Consumer Durables
Calgene Inc,1,United States,North America,Consumer Non-Durables
Polk Audio Inc,2,United States,North America,Consumer Durables
L A Gear Inc,3,United States,North America,Manufacturing
Research Frontiers Inc,12,United States,North America,Other
Merrill Corporation,3,United States,North America,Manufacturing
Avant Immunotherapeutics Inc-Old,10,United States,North America,Healthcare
Norsk Hydro ASA,3,Norway,Europe,Manufacturing
Radva Corp,3,United States,North America,Manufacturing
Harley-Davidson Inc.,2,United States,North America,Consumer Durables
Liposome Co Inc,10,United States,North America,Healthcare
Jewelmasters Inc,9,United States,North America,Wholesale & Retail
Fred's Inc,9,United States,North America,Wholesale & Retail
Igene Biotechnology Inc,5,United States,North America,Chemicals
Diagnostic Medical Instruments Inc,10,United States,North America,Healthcare
Mark VII Inc,12,United States,North America,Other
Waste Recovery Inc,12,South Africa,Other,Other
Trans World Entertainment Corp.,9,United States,North America,Wholesale & Retail
Sonex Research Inc,12,United States,North America,Other
Meridian Bioscience Inc,10,United States,North America,Healthcare
Syntro Corp,10,United States,North America,Healthcare
Gartner Inc,12,United States,North America,Other
Watts Water Technologies Inc,3,United States,North America,Manufacturing
American Medical Electronics Inc,10,United States,North America,Healthcare
Pro Dex Inc,10,United States,North America,Healthcare
Imtec Inc,9,United States,North America,Wholesale & Retail
Aquasciences International Inc,3,United States,North America,Manufacturing
Decora Industries Inc.,3,United States,North America,Manufacturing
Dimark Inc,12,United States,North America,Other
Franklin Electronic Publishers Inc,6,United States,North America,Business Equipment & Software
Cistron Biotechnology Inc,10,United States,North America,Healthcare
Clearfield Inc,6,United States,North America,Business Equipment & Software
Altice usa inc,7,United States,North America,Telecommunication
Altai Inc,6,United States,North America,Business Equipment & Software
Denpac Corp,10,United States,North America,Healthcare
Westerbeke Corp,3,United States,North America,Manufacturing
Digitext Inc,6,United States,North America,Business Equipment & Software
Rada Electronics Industries Ltd,6,Israel,Other,Business Equipment & Software
Axlon Inc,1,United States,North America,Consumer Non-Durables
Westar Corp,12,United States,North America,Other
Adobe Systems Inc,6,United States,North America,Business Equipment & Software
CEM Corp,6,United States,North America,Business Equipment & Software
Electricite De France,8,United States,North America,Utilities
Fuel Systems Solutions Inc,2,United States,North America,Consumer Durables
Victoria Creations Inc,1,United States,North America,Consumer Non-Durables
Acuson Corp,10,United States,North America,Healthcare
Cyanotech Corp,10,United States,North America,Healthcare
Valhi Inc.,5,United States,North America,Chemicals
Duramed Pharmaceuticals Inc,10,United States,North America,Healthcare
Magnetek Inc.,3,United States,North America,Manufacturing
Chips & Technologies Inc,6,United States,North America,Business Equipment & Software
Ascential Software Corp,6,United States,North America,Business Equipment & Software
Encompass Health Corp,10,United States,North America,Healthcare
Advanced Tobacco Products,11,United States,North America,Finance
Life Technologies Inc,10,United States,North America,Healthcare
Lakeland Industries Inc,10,United States,North America,Healthcare
Wacoal Holdings Corp,1,Japan,Asia Pacific,Consumer Non-Durables
RLI Inc,5,United States,North America,Chemicals
Manatron Inc,6,United States,North America,Business Equipment & Software
Emrise Corp,6,United States,North America,Business Equipment & Software
Pain Suppression Labs Inc,10,United States,North America,Healthcare
Joule Inc.,12,United States,North America,Other
Fiserv Inc.,6,United States,North America,Business Equipment & Software
ICN Biomedicals Inc,5,United States,North America,Chemicals
American Consumer Products Inc,3,United States,North America,Manufacturing
Michael Anthony Jewelers Inc.,2,United States,North America,Consumer Durables
California Micro Devices Corp,6,United States,North America,Business Equipment & Software
Hemacare Corp,10,United States,North America,Healthcare
Theragenics Corp,10,United States,North America,Healthcare
EA Engineering Science & Technology,12,United States,North America,Other
Imreg Inc,10,United States,North America,Healthcare
CEL-SCI Corp,10,United States,North America,Healthcare
Abeona Therapeutics Inc,10,United States,North America,Healthcare
Exovir Inc,9,United States,North America,Wholesale & Retail
Tround International Inc,3,United States,North America,Manufacturing
ITUS Corp,11,United States,North America,Finance
Computer Network Technology Corp,6,United States,North America,Business Equipment & Software
Bovie Medical Corp,10,United States,North America,Healthcare
International Baler Corp,3,United States,North America,Manufacturing
Veritec Inc,6,United States,North America,Business Equipment & Software
Vestar Inc,10,United States,North America,Healthcare
Boomerang Systems Inc,2,United States,North America,Consumer Durables
Public Service Electric & Gas Co,8,United States,North America,Utilities
